,date,time,tweet,processed_tweet,sentiment,basic_keywords
0,2023-01-01,,"Resuelto, muchísimas gracias , excelente servicio como siempre",resuelt muchisim graci excelent servici siempr,Neutral,"['resuelt', 'muchisim', 'graci', 'excelent', 'servici', 'siempr']"
1,2023-01-02,,"Muchas gracias, espero su dm",much graci esper dm,Neutral,"['much', 'graci', 'esper', 'dm']"
2,2023-01-02,,Muchas gracias!,much graci,Neutral,"['much', 'graci']"
3,2023-01-02,,Algo similar me paso. Quería renovar mi token para poder hacer una transferencia antes de cerrar la cuenta y wow. Fue más fácil sacar el dinero por ventanilla.,simil pas queri renov tok pod hac transferent cerr cuent wow mas facil sac diner ventanill,Positivo,"['simil', 'pas', 'queri', 'renov', 'tok', 'pod', 'hac', 'transferent', 'cerr', 'cuent', 'wow', 'mas', 'facil', 'sac', 'diner', 'ventanill']"
4,2023-01-02,,Yeeeei! a través de mi cuenta en acabo de contratar mi cuenta de ahorro con mi reto de 2023 para tener 25 mil pesos al final del año. Tiene una súper herramienta para domiciliar a mi cuenta eje y así ahorrar disciplinadamente cada semana! Vamos !!! 💪🏼💰,yeeeei trav cuent acab contrat cuent ahorr ret ten mil pes final ano sup herramient domicili cuent eje asi ahorr disciplin cad seman vam,Neutral,"['yeeeei', 'trav', 'cuent', 'acab', 'contrat', 'cuent', 'ahorr', 'ret', 'ten', 'mil', 'pes', 'final', 'ano', 'sup', 'herramient', 'domicili', 'cuent', 'eje', 'asi', 'ahorr', 'disciplin', 'cad', 'seman', 'vam']"
5,2023-01-02,,Esta es la señal que necesitan para tener el mínimo dinero en banamex,senal necesit ten minim diner banamex,Neutral,"['senal', 'necesit', 'ten', 'minim', 'diner', 'banamex']"
6,2023-01-03,,Gracias 😁,graci,Neutral,['graci']
7,2023-01-03,,Muchas gracias 😊,much graci,Neutral,"['much', 'graci']"
8,2023-01-03,,"Yo no sé mucho, pero te recomiendo la Inversión de . De los mejores rendimientos que he visto, y plazo a 7 días. También el de está chingón, pero tienen un límite de 20k en inversón.",recom inversion mejor rendimient vist plaz dias tambi chingon limit k inverson,Neutral,"['recom', 'inversion', 'mejor', 'rendimient', 'vist', 'plaz', 'dias', 'tambi', 'chingon', 'limit', 'k', 'inverson']"
9,2023-01-04,,Gracias por la playera que me dieron en Galerías GDL.,graci player dieron galeri gdl,Neutral,"['graci', 'player', 'dieron', 'galeri', 'gdl']"
10,2023-01-04,,buen día...tengo problemas con mi cuenta,buen diateng problem cuent,Negativo,"['buen', 'diateng', 'problem', 'cuent']"
11,2023-01-05,,Gracias,graci,Neutral,['graci']
12,2023-01-05,,Mis Respetos para ustedes... Gracias por el servicio 🙌🏻,respet usted graci servici,Neutral,"['respet', 'usted', 'graci', 'servici']"
13,2023-01-05,,"Si ya la bloquee y desbloquee y pude hacer el deposito en oxxo, gracias",si bloque desbloque pud hac deposit oxxo graci,Neutral,"['si', 'bloque', 'desbloque', 'pud', 'hac', 'deposit', 'oxxo', 'graci']"
14,2023-01-06,,"Ya todo bien, gracias 👍",bien graci,Neutral,"['bien', 'graci']"
15,2023-01-06,,Milagro que me gano algo 🫶🏻,milagr gan,Neutral,"['milagr', 'gan']"
16,2023-01-06,,Siii amigo jajaja está muy padre y puedes inveir y te da buen rendimiento 🌚,siii amig jajaj padr pued inve da buen rendimient,Neutral,"['siii', 'amig', 'jajaj', 'padr', 'pued', 'inve', 'da', 'buen', 'rendimient']"
17,2023-01-06,,nunca había ganado nada antes ✨ hahaha,nunc habi gan hahah,Neutral,"['nunc', 'habi', 'gan', 'hahah']"
18,2023-01-06,,Con el CashBack de pude pagar mi servicio de internet. yei :),cashback pud pag servici internet yei,Neutral,"['cashback', 'pud', 'pag', 'servici', 'internet', 'yei']"
19,2023-01-07,,Gracias!!!,graci,Neutral,['graci']
20,2023-01-07,,"Listo, gracias",list graci,Neutral,"['list', 'graci']"
21,2023-01-07,,Si gracias,si graci,Neutral,"['si', 'graci']"
22,2023-01-08,,A mí me llegó una semana después aprox,lleg seman despu aprox,Neutral,"['lleg', 'seman', 'despu', 'aprox']"
23,2023-01-09,,hola buen día tengo algunas dudas con mi cuenta podrían ponerse en contacto... Muchas gracias..,hol buen dia dud cuent podri pon contact much graci,Negativo,"['hol', 'buen', 'dia', 'dud', 'cuent', 'podri', 'pon', 'contact', 'much', 'graci']"
24,2023-01-10,,Muchas gracias!,much graci,Neutral,"['much', 'graci']"
25,2023-01-10,,Muchas gracias 🙏,much graci,Neutral,"['much', 'graci']"
26,2023-01-10,,"Bloquea la tarjeta 5 minutos o más, posteriomente la vuelves a desbloquear y ya la agregas. Esa es la solución, me confirmas con un tweet por favor.",bloque tarjet minut mas posteri vuelv desbloqu agreg solucion confirm tweet favor,Positivo,"['bloque', 'tarjet', 'minut', 'mas', 'posteri', 'vuelv', 'desbloqu', 'agreg', 'solucion', 'confirm', 'tweet', 'favor']"
27,2023-01-10,,"Es de 35,000 UDIS (184,000).De todas las plataformas en las que he inveido las mejores son Finsus y cetes para largo plazo y HeyBanco es para mi la mejor opción para tu fondo de emergencia , ya que tienes liquidez semanal. En Finsus tengo al rededor del 90% de mi poafolio.",udis tod plataform inve mejor finsus cet larg plaz heybanc mejor opcion fond emergent liquidez semanal finsus rededor poafoli,Positivo,"['udis', 'tod', 'plataform', 'inve', 'mejor', 'finsus', 'cet', 'larg', 'plaz', 'heybanc', 'mejor', 'opcion', 'fond', 'emergent', 'liquidez', 'semanal', 'finsus', 'rededor', 'poafoli']"
28,2023-01-11,,Excelente Gracias por responder 🙏 estaremos muy atentos 🤝,excelent graci respond atent,Neutral,"['excelent', 'graci', 'respond', 'atent']"
29,2023-01-11,,"Pues bueno, me quedé sin cena, muchas gracias 👍",pues buen qued cen much graci,Neutral,"['pues', 'buen', 'qued', 'cen', 'much', 'graci']"
30,2023-01-11,,"Gracias e igualmente, bendiciones 🙏",graci igual bendicion,Neutral,"['graci', 'igual', 'bendicion']"
31,2023-01-11,,Vale estoy esperando,val esper,Neutral,"['val', 'esper']"
32,2023-01-11,,Muchas gracias espero la respuesta,much graci esper respuest,Neutral,"['much', 'graci', 'esper', 'respuest']"
33,2023-01-13,,Me gané 99 pesitos de crédito en Amazon coesía de Qué agradables sujetos 😁,gan pesit credit amazon coesi agrad sujet,Positivo,"['gan', 'pesit', 'credit', 'amazon', 'coesi', 'agrad', 'sujet']"
34,2023-01-13,,es mejor,mejor,Neutral,['mejor']
35,2023-01-13,,Contéstenme por favor,contestenm favor,Positivo,"['contestenm', 'favor']"
36,2023-01-14,,Muchas gracias que amables 😊,much graci amabl,Neutral,"['much', 'graci', 'amabl']"
37,2023-01-14,,"heybanco muchos años como cliente de bancomer y me encontre con y la verdad estoy muy agusto con los servicios, la app y las tarjetas debito y credito",heybanc anos client bancom encontr verd agust servici app tarjet debit credit,Positivo,"['heybanc', 'anos', 'client', 'bancom', 'encontr', 'verd', 'agust', 'servici', 'app', 'tarjet', 'debit', 'credit']"
38,2023-01-14,,amigos les mandé dm gracias,amig mand dm graci,Neutral,"['amig', 'mand', 'dm', 'graci']"
39,2023-01-14,,solicito su ayuda gracias,solicit ayud graci,Neutral,"['solicit', 'ayud', 'graci']"
40,2023-01-15,,Gracias!Ya respondí.Quedo atenta,graciasy respondiqued atent,Neutral,"['graciasy', 'respondiqued', 'atent']"
41,2023-01-16,,Va gracias,va graci,Neutral,"['va', 'graci']"
42,2023-01-16,,No sé ni a qué le piqué pero muchas gracias😂❤️,piqu much graci,Neutral,"['piqu', 'much', 'graci']"
43,2023-01-16,,"Planeación de temporada 2023 de los equipos, gracias a por la ocnfianza desde el día 1 y se viene la bomba de patrocinio con vamos por el doblete!!!}@DavilaCarloss",planeacion tempor equip graci ocnfianz dia vien bomb patrocini vam dobletedavilacarloss,Negativo,"['planeacion', 'tempor', 'equip', 'graci', 'ocnfianz', 'dia', 'vien', 'bomb', 'patrocini', 'vam', 'dobletedavilacarloss']"
44,2023-01-16,,Por eso son mi banco 1 ⭐⭐⭐⭐⭐,banc,Neutral,['banc']
45,2023-01-17,,Gracias,graci,Neutral,['graci']
46,2023-01-17,,Thanks!,thanks,Positivo,['thanks']
47,2023-01-17,,Muchas gracias!,much graci,Neutral,"['much', 'graci']"
